prompt,completion
"Your philosophy, Mahatma:","As the Independence Movement is essen- tially for the poorest in the land, the beginning will be made with this evil"
"Gandhi, share your wisdom:",The wonder...ia that we Letters to Lord Irwin
What would Gandhi say?,67 have submitted to the cruel monopoly for so long
Tell me about truth and love:,"It is, I know, open to you to frustrate my design by an-esting me"
"Guide me, Gandhi:",and in the act of disobeying the Salt Act lay themselves open to the penalties of a law that should never have disfigured the Statute-book
"Your philosophy, Mahatma:","This letter is not in any way intended as a threat, but is a simple and sacred duty peremptory on a civil resister"
"Gandhi, share your wisdom:","Therefore I am aving it specially delivered by a young Engllsh friend, who believes in the Indian cause and is a full believer in non-violence and whom"
What would Gandhi say?,Providence seems to have sent to me as it were for the v_~Y purpose
Tell me about truth and love:,"I remain, Your Sincere friend, M. J(, GANDHI. THE SECOND LETTER. The following is the text of Gandhiji's second letter to Lord Irwin drafted on the eve of his arrest : Dear Friend, I mud Commence the March God willing, it is my intention ."
"Guide me, Gandhi:","to set out for Dharsana and reach there with my companions ·, · · ."
"Your philosophy, Mahatma:",It is effective- ly under Government control as the Viceroy's house
"Gandhi, share your wisdom:",69 It is not without hesitation that the step has been decided upon
What would Gandhi say?,I had hoped that the Govern- ment would fight che civil resisters in a civilised manner
Tell me about truth and love:,"I couJd !1:1\ e had nothing to say if, in dealing wit!1 the ci·""il tcsisters, the Government had satisfied itself with ilpplying the ordinaty processes of law"
"Guide me, Gandhi:","e known leaders have 1:-een dealt with more or less according to the legal formality, the rank and file has been often savagely and in some cases even indec2ntly assaulted"
"Your philosophy, Mahatma:","Had these been isolated cases, they might bave been overlooked"
"Gandhi, share your wisdom:","But accounts have come to me from Bengal, Behar Utkal, U. P. Delhi and Bombay confirming the experiences of Gujrat of which I have ample evidence at my disposal"
What would Gandhi say?,"In Karachi, Peshawar and Madras the firing would appear to have been unprovoked and unnecess.ary"
Tell me about truth and love:,"Bones have been broken, private parts have been squeezed for the purpose a£ making volunteers give up, to the Government valueless, to the volunteers precious, salt"
"Guide me, Gandhi:",The crowd demandmg restoration ot the .Flag thus illegally seized is reported to have been mercilessly beaten back
"Your philosophy, Mahatma:",That the Flag was subse- quently restored bet1·ayed a guilty conscience
"Gandhi, share your wisdom:",In Btmi!al there seem to have been only a few prosec-70 Famous Letters of Mahatma Gandhi
What would Gandhi say?,"cutions and assaults about salt, but unthinkable cruelties are said to have been practised in the act of snatching flags from volunteers"
Tell me about truth and love:,"to have been burnt, eatables forciby taken"
"Guide me, Gandhi:","A vegetable market in Gujcrat has been l'aided, because the dealers would not 5ell vegetables to officials"
"Your philosophy, Mahatma:","These acts have taken place in front (lf crowds who, for the sake of Congress mandate, hav c submitted without rEtaliation"
"Gandhi, share your wisdom:","I ask you to belie,·e the accounts given by men pledged to truth"
What would Gandhi say?,"Repudiation even by high officials has, as in the Bardoli case, often proved false"
Tell me about truth and love:,"The officials I regret to have to say, have not hesitated to publish false- hoods to the people even during the last five weeks"
"Guide me, Gandhi:",I take the following samples from Government notices issued from Collector's offices m Guje1at :- 1
"Your philosophy, Mahatma:","Adults use five pounds of salt per year, therefore pay three annas per year as tax"
"Gandhi, share your wisdom:","I£ Government removed the monopoly, people will have to pay higher prices and in addition make good to the Government the loss sustamed by the removal of the monopoly"
What would Gandhi say?,"The salt you·take from the sea-shore is not eatable, therefore the Government destroys tt"
Tell me about truth and love:,"Gandhi says that Gove1nment has destroyed hand spinning in this country, whereas everybody knows that this 1:, not true, because throughout the country there is not a village where hand- spinning of cotton is not going ou"
"Guide me, Gandhi:",Moreover in every province cotton spinners are shown superior methodf-t and are provided with better instruments at less prices and are thus helped by Government
"Your philosophy, Mahatma:","Out of every five 1upees of the debt that the Government has incurred, rupee~ four have been beneficially spent"
"Gandhi, share your wisdom:",I have taken these three sets of statement~ from three different leaflets
What would Gandhi say?,The daily consumption of salt by an adult xs three times the amount stated and therefore the poll tax and the salt tax undoubtedly is at least 9 as
Tell me about truth and love:,"And this tax is levied from n1an, woman,"
"Guide me, Gandhi:",It 1s a wicked falsehood to say that every village has a spinning wheel and that the spinnin-'l 72 Famous Letters of Mahatma Gandhz
"Your philosophy, Mahatma:",mov~.:ment is in any shape or form encouraged or supported by the Government
"Gandhi, share your wisdom:",Financiers can bett~r dispose of the falsehood that four out of every five rupees of the public debt is used for the benefit of th.= public
What would Gandhi say?,But those falsehoods are mere sampl~s of w·hat people know is going on in every day contact with the Govermuent
Tell me about truth and love:,"Only the other day a Gujl!rati poet, a brave man, was convicted on prejudg- ~d official evidence in spite of his emphatic statement that at the time mentioned he was sleeping soundly in anvther place"
"Guide me, Gandhi:",Liquor dealers have assaulted picket:s admitted by officials to have been peaceful and sold liquor in contravention of regulations
"Your philosophy, Mahatma:","As to the assault though they are known to every body, they may take shelter under the plea that they have received no complaints"
"Gandhi, share your wisdom:",You have found a short cut through the law's delay in the matter of the trial of Bhagat Singh and others by doing a way with the ordinary procedure
What would Gandhi say?,"Is it any wonder if I call all these o:ffi.clai activities and inactivities "" VP.ilPd form ~f Letters to Lord Irwin"
Tell me about truth and love:,"Before then the reign of terrorism that has jusf begun overwhelms India, I feel that I must take a bolder step and if possible divert your wrath in a cleaner if more drastic channel"
"Guide me, Gandhi:","According to the science of Satyagraha, tli~' greater the repression and law Iessness on the pari:' M authority, the greater should be the suffering couttitt by the victims"
"Your philosophy, Mahatma:","Success is the ceTtt.dn result o'f suffering of the extremest • ,ha.racter t.~oluntar~ uJlderttone: 74 Famous Letters of Mahatma Gandhi"
"Gandhi, share your wisdom:","I say what I mean and think- And I have been saying for the last fifteen years m India, and outside for twenty years more, and repeat now that the only way to conquer violence ls through noL1·violencc pure and undefiled"
What would Gandhi say?,"I have said also that every violent act, word and even thought interferes with the progress of non-vtolent act"
Tell me about truth and love:,"If in spite of such repeated warnings, people will resort to violence, I must down responsibihty save such as inevitably attaches to every human being for the acts of every other human being"
"Guide me, Gandhi:","question of responsibility apart, I dare not postpone action on any cause whatsoever if non- violence is the force the seers of the world have claimed it to be and if I am not to belie my own extensive experience of its working"
"Your philosophy, Mahatma:",I would therefore ask you to remove the tax which many of your illustrious countrymen have condemn- ed
"Gandhi, share your wisdom:","in unmeasured terms and which, as you could not have failed to observe, has evoked universal protest and rese-ntment expressed in civil disobedience"
What would Gandhi say?,"75 If you say, as you have said, that the civil disobe- dience must end in violence, history will pronounce the verdict that the Bntish Government not bearing because not understanding non-violence, goaded human nature to violence, which 1t could understand and deal with"
Tell me about truth and love:,"But in spite of the goading, I shall hope that God will g1ve the people of India wtsdom and strength to Withstand every temptation and provocation to violence"
"Guide me, Gandhi:","therefore, you cannot see your way to remove the Salt Tax and remove the prohibitions on pnvate salt-making I must reluctantly commenc~ the march adumberated m the opening paragraph of my letter"
"Your philosophy, Mahatma:","In the ""jear I930 when he was m Yervada Jail the inmates of Yer<~ada )ait received ver'J affectionate letters from him, somt"
"Gandhi, share your wisdom:",of which are reproduced below :) 1-TO MIRA BAl
What would Gandhi say?,I have been quite happy and have been mak- ing up for arrears of rest
Tell me about truth and love:,"The nights here are cool and, as I am permitted to sleep at night under the sky, I have refreshing sleep"
"Guide me, Gandhi:","About the change made in the manner of taking the diet, you will learn from my general letter"
"Your philosophy, Mahatma:",It was a great treat to rece1ve the wheel so thoughtfully sent and with things so carefully pack~ ed in it
"Gandhi, share your wisdom:","The carding bow, the supermtendent tells me, was lost on the way by the friends who brought it •"
What would Gandhi say?,I am m no hurry fo1 it as you have sent me a liberal quantity of slivers
Tell me about truth and love:,They were not the ones I wanted-however this mistake does not matter much as I do not miss the books just now
"Guide me, Gandhi:",For the first day I gave nearly seven hours to nearly reach 160 rounds
"Your philosophy, Mahatma:",I was washed out at the end of the per- formance
"Gandhi, share your wisdom:","refore, in no hurry to the books- The prison officials are all kind and attentive, Love BAPU. • It has since been found by the friends and posted co the Jail"
What would Gandhi say?,• II-GENERAL LETTER TO ALL THE INMATES OF THE ASHRAM. u My health is alright
Tell me about truth and love:,"I rise in the morning at the Ashram hour (4 A.M.) I am given a light, so I can read the Gita chapters according to our custom"
"Guide me, Gandhi:","I rest regularly at 8 in the morning, and 12 noon, and thus get some two to three hours sleep during the day"
"Your philosophy, Mahatma:","I gave up oranges during my march, but have begun to take them again here"
"Gandhi, share your wisdom:",On the first day I took raw goat's milk and am continuing it for the present
What would Gandhi say?,"In the mornings, also, I take cold water instead of hot"
Tell me about truth and love:,"They give me full facilities for making it hot, but if the body can be maintained on cold water, why bother about hot water"
"Guide me, Gandhi:","I had begun taking cold water baths, but from yesterday I am again bathing with hot water"
"Your philosophy, Mahatma:","The goat is milked in my presence, so there is no question as to the cleanliness of the :Dlilk"
"Gandhi, share your wisdom:","If raw milk proves unsatisfactory I will, o£ course~ ~et it heated"
What would Gandhi say?,"79 They have given me a man to clean vessels, etc., Dat~s and raisins I am taking"
Tell me about truth and love:,There 1s no reason to be anxious about my diet
"Guide me, Gandhi:","There is, and ought to be, no tune in these days for taking superfluous care o£ others"
"Your philosophy, Mahatma:","As for my spinning, 1t is regular"
"Gandhi, share your wisdom:","In Wardha, some people have reached the speed of 80 rounds in half an hour"
What would Gandhi say?,"---Ill-TO ""BA"" (KASTURBA GANDHI) How nice it was that I saw you and all the ~i$ters the evening previous to my arrest"
Tell me about truth and love:,And I ~{ls able to go with you up to your residence which ga'\re tne much pleasure~ God's favours pour down upon us as rains from Heaven ..
"Guide me, Gandhi:",All the verses of the sisters' prayer were thoughtfully art·anged
"Your philosophy, Mahatma:","· To his son De""adas, he wrote : I do not know where you are"
"Gandhi, share your wisdom:","But there is God above to take care of us, so let us not worry about one another"
What would Gandhi say?,"IV-TO LAK.SHMI (THE LITTLE UNTOUCH­ ABLE ADOPTED DAUGHTER OF GANDHIJI) AND OTHER LITTLE CHILDREN. Little Birds, Ordinary birds cannot fly without wings"
Tell me about truth and love:,"With wings of course, all can fly"
"Guide me, Gandhi:","But if you, without wings will learn how to fly, then all your troubles will indeed be at an end"
"Your philosophy, Mahatma:","See, I have no wings, yet I come flying to you every day in thought"
"Gandhi, share your wisdom:","Look, here is little Vimala, here is Hari and here Dharmakumar"
What would Gandhi say?,"There is no need of a teacher for those who know how to think, the teacher may guide us, but he cannot give us the power of thinking"
Tell me about truth and love:,"Tell me who, amongst you, are not praying properly in Prabhubhai's evening prayer"
"Guide me, Gandhi:","Send me a letter signed by all, and those who do not know bow to sign may make a cross"
"Your philosophy, Mahatma:","Yerawada Palace, BAPU'S blessings"
"Gandhi, share your wisdom:","CORRESPONDENCE WITH LORD WILLINGDON. GANDHIJI'S 1ST REJOINDER. In the ""jear 1931 when the relations between the Congress and the British Government were straitened to a rather 'dangerous' extent, a queer situation arose"
What would Gandhi say?,Gandhiji was scheduled to see the Viceroy- Lord Willingdon to discuss with him the politicaL situation of the country with a view to arrive at some solution of the impasse
Tell me about truth and love:,"Parallel to the extension of invitation to Gandhiji, the Viceroy started a campaign of shooting in the Frontiera.ndarrestsinother parts of India"
"Guide me, Gandhi:",Gandhiji sent a wire to the Viceroy asking whether' friendly relations between u.s are close or whether you expect me to see you'
"Your philosophy, Mahatma:",His Excellency sent a reply that he was willing to see him but he was not prepared to discuss anything with regard to any of the ' repressive measures'
"Gandhi, share your wisdom:",He also held Ga1tdhiji responsible [OT various measures of lawlessness
What would Gandhi say?,"T(,l this Gandhiii issued the following rejoinder on 3uc December 1931"
Tell me about truth and love:,"---IT IS NOT YET TOO LATE. I thank His Excellency for the wire in reply to mine of the 29th instant, It grieves me, for His Excellency has rejected, in a manner hardly befitting his high position, an advance made in the friendliest spirit"
"Guide me, Gandhi:",I had approached as a seeker wanting light on questions upon which I desire to understand the Government version o£ every serious and extra- ordinary measures to which I made refexence
"Your philosophy, Mahatma:","In my opinion the constituti~.aal issue dwin- dles into insignificance in the face of the Ordinances 'and Acts which must, if not met with stubborn resistance, end in utter demoralisation of the Nation"
"Gandhi, share your wisdom:",I hope no self-respecting Indian ·will run the risk o£ killing national spirit for a doubtful contin- gency of securing a constitution to which no Nation with stamina may be left~ Let me also point out· that as to the Frontier Province your telegrBUJ. 84 Famows Letters of Mahatma Gandhi
What would Gandhi say?,"contains a narration of facts which on the face of them furnish no warrant for arrest of popular leaders passing extra-legal Ordinance making life and pro- perty utterly insecure, and shooting unarmed peaceful crowds for daring to demonstrate against the arrests· of their trusted leaders"
Tell me about truth and love:,"If Khan Saheb Abdul Ghaffar asserted the right to complete independence, it was a natural claim and a claim made with impunity by the Con- gJ;""ess at Lahore in 1929 and by me with energy put before the British Government in London"
"Guide me, Gandhi:","More- oVer let me remind the Viceroy that despite the knowledge on the Government's part that the Congress mandate contained such a claim, I was invited to attend th"
"Your philosophy, Mahatma:",e London Conference as the Con- gress delegate
"Gandhi, share your wisdom:","In refusing to attend ;;r Darbar if Khan Saheb was fomenting racial hatred, it was undoubtedly regrettable"
What would Gandhi say?,"but assum- ing that he did foment racial hatred, he was entitled to an open trial where he could have defended himself against the accusation"
Tell me about truth and love:,"85 Regarding the United Provinces, His Excell- ency is surely misinformed because there was no no-rent campaign authorised by the Congress"
"Guide me, Gandhi:",But whilst negotiations were proceeding between Govern ..
"Your philosophy, Mahatma:","ment and Congress representatives, the time for collection of rents actually arrived and rents began"
"Gandhi, share your wisdom:","Congressmen were therefore obliged to advise tenants to suspend payment peLld- ing the result of negotiations, and Mr"
What would Gandhi say?,T-he controversy in the United Provinces is of long
Tell me about truth and love:,standing and involves the well-being of millions of peasantry known to be economically ground down
"Guide me, Gandhi:",• R6 Famous Letters of Mahatma Gandhi
"Your philosophy, Mahatma:",I must repudiate the suggestion that the Con· gress has the slightest desire to promote disorder in any shape or form
"Gandhi, share your wisdom:","As to Bengal, the Congress is at one with the Government in condemning assassinations and should heartily co-operate with Government in measures that may be found neces- sary to stamp out such climes"
What would Gandhi say?,I heartily assent to the proposition laid down in your telegram that co-operation must be mutual
Tell me about truth and love:,But your telegram leads me irresistibly to the conclusion that His Excellency demands co~ operation from the Congress without returning any on behalf of Government
"Guide me, Gandhi:","1 can read in no other way his pre-emptory refusal to discuss these matters, which, as I have endeavoured to show, have at least two sides"
"Your philosophy, Mahatma:","The popular side 1 have put as I understand it, but before committinS tnyself to a definite judgment I was anxious to understand"
"Gandhi, share your wisdom:","the other, that is, the Govern~ ment side and then tender my advice to the Con-"
What would Gandhi say?,"gress, • With teference to the last paragraph of your Letters to Lord Willingdon"
Tell me about truth and love:,I cannot conceal from His Excellency my opinion that the reply he has condescended to send was hardly a return for my friendly and well-meant approach
"Guide me, Gandhi:","Along with my desire and willingness to co- operate with the Goverment, I must place my limi- tations before His Excellency"
"Your philosophy, Mahatma:",Non-violence is my absolute creed
"Gandhi, share your wisdom:","I believe that civil disobedience is not only the natural right of a people, especially when they have no effective voice in their own Government, but that it also is an effective substi- tute for violence or armed rebellion"
What would Gandhi say?,"If His Excellency thinks it worthwhile to see me, the operation of the resolution will be suspended pending our discussion in the hope that it may result in the resolution being finally given up"
Tell me about truth and love:,I admit that the correspondence between His Excellency and m:yse1£ is of such grave impottallce a$ not to brook delay in publication
"Guide me, Gandhi:","J am, thetefore, sending my telegram, YO't.lt reply"
"Your philosophy, Mahatma:",this rejoinder and the Workiug Committee's resolution for pUblication
"Gandhi, share your wisdom:",To that telegram the Mahatma issued the following '!ejoinder;-TIME ALONE WILL SHOW WHO WAS JUSTIFIED
What would Gandhi say?,May I remind the Governxnent that the Delhi negoti~ ations were opened and carried on whilst civd d1s~ obedience was not given up but only discontinued
Tell me about truth and love:,Tlus position was reasserted and accepted by His Ettcellency and his Government in Simla in Septem~ be~ last ptior to my departure for London
"Guide me, Gandhi:",Although r had made it clear that under certain circumstances the Congress might have to resume Civil Disobedience the Government did not break off negotiation$
"Your philosophy, Mahatma:",That it was made clear by the Government that Civil Disobedience carried with it the penalty for disobedience merely proves what civil resisters bargain for but does not in any way effect my argu- tnent
"Gandhi, share your wisdom:","Had the Government resented that attitude, it was open to them not to send me to London"
What would Gandhi say?,On the contrary my departure had His Excellency's blessings
Tell me about truth and love:,91 Government should be dependent on my judgment
"Guide me, Gandhi:",I claim that my messages have no othet· meaning
"Your philosophy, Mahatma:",Meanwhile I wish to assure the Government that every endeavour will be made on the part of the Congress to carry on the struggle without malice and in a strictly non-violent manner
"Gandhi, share your wisdom:","It was hardly necessary to remind me that the Congress and I, its humble representative, are responsible for all the consequences o£ our actions"
What would Gandhi say?,TO THE NATION. In )anutlr'J 193.2 the political situation in India was tense and explosive
Tell me about truth and love:,"The country was bubbling with enthusiasm of unprecedented intensity and people were bent upon casttng away the 'JOke of slaver'J by hook or b, crook"
"Guide me, Gandhi:","The Congress had alread, passed a resolu-­ tion int~olving the resumption"
"Your philosophy, Mahatma:","of Civil Disobedience Mot1ement and on the other hand, the British Govern­ ment were bent upon suppressing the upheavals b1 all pos­ $ible means, and the:Y had alreacl:y apprised the Mahatma of their intentions through a telegram"
"Gandhi, share your wisdom:",At that critical period Mahatma Gandhi issued the following message to .the Nation :-WE ARE EMBARKING ON A FIERY ORDEAL. It is a matter for deep regret to me to have received this telegram from H.E. the Viceroy and the Government
What would Gandhi say?,"heaped error upon error, instead of courageously acknowledging th~ first error, in practically banging the door in my face by imposing for the coveted mterview conditions which no self-respecting man can possibly accept and reopen the door"
Tell me about truth and love:,"Surely he m·llst know that the negotiations ·which resulted in the settlement were being carried GA. although civil disobedience was still on, and under the settlement it was never finally given up but was 94 Famous Letters of Mahatma Gandhi"
"Guide me, Gandhi:",To this I wish to add the Second Settlement that was arrived at in Simla immediately prior to my departure £or London
"Your philosophy, Mahatma:","Surely, if civil disobedience was such a heinous crime, the Government could never have exchanged correspondence on that basis and sent me to London with Viceregal blessings; but I see that with the change of times, manners have also changed"
"Gandhi, share your wisdom:",95 urge them not to be angry with the administrators
What would Gandhi say?,"We have faith in ourselves and therefore in human nature to feel that, if we suffer long enough and in the proper spirit, our sufferings must result m converting administrators"
Tell me about truth and love:,"After all, let us realise that the greater and the longer sufferings, the greater would be our iltness for Swarajya, for which we are embarking upon a fiery ordeal"
"Guide me, Gandhi:",GANDHIJI'S LETTER TO SIR SAMUEL HOARE IN MARCH 1932
"Your philosophy, Mahatma:","In the following letter dated March u, I932 4ddressed to Sir Samuel Hoare, Mahatma Gandhi informed His Majesty's Government that in the event of their creating separate electorates for the Depressed Classes, he (the Mahatma) would fast unto death"
"Gandhi, share your wisdom:","In pursuance of that statement, I had hoped on my return to India to mobilize public opinion against separate electotate at any rate for the Depressed Classes"
What would Gandhi say?,"From the newspapers I am permitted to read, I observe that any tnoment His Majesty's Government may declare their dectsion"
Tell me about truth and love:,"At first I bad thought that if the decision was found to create separate electorates for the Depressed Classes, I should take such steps as I might then consider necessary to give effect to my vow"
"Guide me, Gandhi:",But I feel it would be unfair to the British Gavernme11t for me to act without giving previous notice
"Your philosophy, Mahatma:",Naturally they could not attach the sianificance I ~ave to my statement
"Gandhi, share your wisdom:",98 Famous Letters of Mahatma Gandhi
What would Gandhi say?,I need hardly reiterate all the objections I have to the creation of separate electorates for the D~pressed Classes
Tell me about truth and love:,I am not against their representa- tion in the legislatures
"Guide me, Gandhi:","I would favour one ot their adults, male and female, being registered as voters irrespective of education or property qualifica- tions even though the franchise test may be stricter for others"
"Your philosophy, Mahatma:","To appreciate the harm that separate electorates would do them, one has to know how they are distributed amongst the so-called Caste Hindus and how dependent they are on the latter"
"Gandhi, share your wisdom:",For me the question of these classes is predomi- nently moral and religious
What would Gandhi say?,"The political aspect, important though it ist dwindles into insigntficance compared to the moral and religious issue"
Tell me about truth and love:,"I feel that no penance Caste Hindus mav do, can :in To Sir Samuel Hoare 99 any way compensate for the calculated degradation to which they have consigned the Depressed Classes for centuries"
"Guide me, Gandhi:",But I know that separate electorate 1s neither penance nor any remedy for the crushing degradation they have groaned under
"Your philosophy, Mahatma:",I therefore respectfully inform His Majesty's Government that
"Gandhi, share your wisdom:","I am painfully conscious of the fact that such a step whilst I am a priso11er, must cause grave embarrassment to His Majesty's Government and that it will be regarded by many as highly improper on the part of one holding my position to introduce"
What would Gandhi say?,"into the political field methods which they would describe as hysterical, if not much worse"
Tell me about truth and love:,"AU that I can urge in defence is that, for me, the contem • plated step is not a method, it is a part of my being"
"Guide me, Gandhi:","It is the call of conscience which I dare not disobey, even though it may cost whatever reputation for sanity I may possess"
"Your philosophy, Mahatma:","So far as I can see now, my discharge fcom imprisonment would not make the duty of fasting ~Y the less imperative"
"Gandhi, share your wisdom:",• 100 Famous Letters of Mahatma Gandhi I am hoping however that all my £ears are wholly unjustified and that the British Government have no intention whatever of creating separate electorate for the Depressed Classes
What would Gandhi say?,It is perhaps as well for me t<
Tell me about truth and love:,r~!er to an2~~r matter that is agitating me and which may also -enforce a similar .fast
"Guide me, Gandhi:",It is the way repression is g£_inl o.n.
"Your philosophy, Mahatma:","{I have no notion when I maY""f;;i;;the shock that would compel the sacrifice"
"Gandhi, share your wisdom:",Both English and Indian officials a:re being brutalised
What would Gandhi say?,"The latter, high and low, are becoming demoralised by reason of the Government regarding as meritorious, disloyalty to the people and inhuman conduct towards their own kith and kin"
Tell me about truth and love:,"And all this, as it seems to me being done in ~to crush the spirit of freedom which the Con- It•"
"Guide me, Gandhi:",Repression is not confined to punishiq chril breaches of the col'TJ.rnon t~w
"Your philosophy, Mahatma:",'tt To Sir Samuel Hoare 101 goads people to break the newly made orders of autocracy designed for the most part to humiliat~ them
"Gandhi, share your wisdom:","In all these doings, as I read them, I see no spirit of democracy"
What would Gandhi say?,Indeed my recent visit to Eng- land has confirmed my opinion that your democracy is a superficial circumscribed thing
Tell me about truth and love:,"In the weighti- est matters, decisions are taken by individuals or groups without any reference to the Parliament and these have been ratified by Members having but a vague notion of what they were doing"
"Guide me, Gandhi:",Such wa.s the case with Egypt and the War o£ 1914 and such is the case with India
"Your philosophy, Mahatma:",one man should have unfettered power of affecti.ng the destiny of an ancient people numbering over three hundred millions and that his decisions can be enforced by mobilising the most terrible forces of destruction
"Gandhi, share your wisdom:",In so far as I am respon- sible an
What would Gandhi say?,"d can help it, how am I to arrest the process"
Tell me about truth and love:,I regard myself by nature a demo- crat
"Guide me, Gandhi:",The democracv of my conception is wholly 102 Famous Letters of Mahatma Gandhi inconsistent with the use of physical force for enforc- ing its will
"Your philosophy, Mahatma:","It is a process of self-suffering and a part of the plan is, that in given circumstances a civil resister must sacrifice himself even by fasting to a finish"
"Gandhi, share your wisdom:","There- fore in writing to you about the possibility of a fast regarding the Depressed Classes, I felt I would be untrue to you if I did not tell you also there was another possibility not remote, of such a fast"
What would Gandhi say?,"Needless to say, from my side absolute secrecy has been maintained about all the correspondence I have carried on with you"
Tell me about truth and love:,"0£ course, Sardar Vallab bhai Patel and Mr"
"Guide me, Gandhi:","Mahadev Desai who have just been sent to join us, know all about it"
"Your philosophy, Mahatma:","But you will no doubt make whatever use you wish, of this letter"
"Gandhi, share your wisdom:","--TO RAMSAY MACDONALD. (Gandhiji's letter dated August r8, r932 from Yerwada ]ail addressed to the then Prime Minister of England Mr"
What would Gandhi say?,""" FAST UNTO DEATH "" Dear friend, There can be no doubt that Sir Samuel Hoare has showed you and the Cabinet my letter to him of 11th March on the question of the representation of the Depressed Classes"
Tell me about truth and love:,I have read the British Government's decision on the representation of the Minorities and have slept over it
"Guide me, Gandhi:",In pursuance o£ my letter to Sir Samuel Hoare and my declaration at the meeting of the Minorities Committee of the Round Table Con .
"Your philosophy, Mahatma:","ference on the 13th November 1931, at St"
"Gandhi, share your wisdom:",James' Palace I have to resist your decision with my life
What would Gandhi say?,"{The only way I can do so is hi declaring a mpetual )1st unto death from foo~ of an..x kind, save wat~r with ot without salt and soda"
Tell me about truth and love:,"~of 20t,h September next unless the smd decision is mean,...,"
"Guide me, Gandhi:",hile 1 cvised in the manner suggested above
"Your philosophy, Mahatma:","I also ask that tJus letter and my letter to Sir Samuel Hoare, already referred to be published, at the earliest possible m"
"Gandhi, share your wisdom:","On my part I have scrupulously observed the rule of the jail and have communicated my desire or the contents of the two letters to no one save my two companions, Sardar Vallabhai Patel and Sjt"
What would Gandhi say?,"But I want, if you make it possible public opinion to be affected by my letters"
Tell me about truth and love:,Hence my request for their early • publication
"Guide me, Gandhi:","But as a man of religious that I hold myself to be, I have no ather course left open to me"
"Your philosophy, Mahatma:","As I have said in my letter to Sir Samuel Hoare, even if His Majesty~s G~ernment decided to release me in order to save themselves embarrassment, my fast will have to con-106 Famous Letters of Mahatma Gandhi"
"Gandhi, share your wisdom:","For, I cannot now hope to resist the declSlon by any other means"
What would Gandhi say?,It may be that my juJgmcnt lS wa1ped and that I am wholly 111 et ror in regarding separate electo1ates for the Deptessed Classes as harmful to them or Hinduism
Tell me about truth and love:,"If so, I am not likely to be in the tight with reference to other parts of my philo· sophy of life"
"Guide me, Gandhi:","In that case, my death by fasting will be at once a penance tor my error and a lifting of a weight from off those numberless men and women who have a child-like faith in my wisdom"
"Your philosophy, Mahatma:","Whereas if my judgment is right, as I have little doubt it is, the contemplated step is but a due fulfilment of the scheme of life which I have tried for more than a quarter of a century apparently not without consider- able success"
"Gandhi, share your wisdom:",M. A. JINNAH. In the year I93B a serious attempt was made by ---!' the Congress Leaders to come to an understanding with -Mr
What would Gandhi say?,"]innah, President of the Muslim League of India i with a view to bring about unity between the twoorganiza~ tions-the League and the Congress-and to solve the Hindu-Muslim tangle"
Tell me about truth and love:,"however insisted that an essential precondztion to any agreement between the two organizations was ~he recognition by the Congress that the Muslim League 1.t!~,.Uhe ~k B:v.iliqr.ztg,~ and ,epresentative political orgamzation of the Muslims of lndia"
"Guide me, Gandhi:",Jinnah: IN YOUR SPEECH I MISS THE OLJD NATIONALIST. Dear Mr
"Your philosophy, Mahatma:","Jinnah, Pandit Nehru told me yesterday that you were complaining to Maulana Sahib about the absence of any reply from me to your letter of the 5th Novem- ber in reply to mine of the 19th October"
"Gandhi, share your wisdom:",I :re-read the letter and I still think there was nothing useful that I could have said in reply
What would Gandhi say?,Kher told me definitely he had a private message £rom you
Tell me about truth and love:,He delivered it to me when I was alone- I could have sent you a verbal message in reply but in order to give you a true picture of my mental state I sent you a short note
"Guide me, Gandhi:","But I did feel, as I still do, that ."
"Your philosophy, Mahatma:","109 "" Your complain of my silence"
"Gandhi, share your wisdom:","Believe me, the moment I can do something that can bring the two communities together nothing in the world can prevent me from so doing"
What would Gandhi say?,"(You seem to deny tha,!,!2Yt ~ p~~~Jl ."
Tell me about truth and love:,"p{ • WN, but your later pronouncements too confirmed my first impression"
"Guide me, Gandhi:",In your speech I miss the old Nationalist -when in 1915 I returned from my self-imposed exile in South Africa
"Your philosophy, Mahatma:","If you say you are, in spite of your speeches, I shall accept your word"
"Gandhi, share your wisdom:",This again is not for publication but for your eyes; it is the one of a friend not of aa opponent
What would Gandhi say?,In this letter Gandhijt expressed a strong desire for unity between two great countries of the East-India and China
Tell me about truth and love:,"I had always felt drawn towards you in our nght for freedom, and that contact and our conversation brought China and her problems still nearer to me"
"Guide me, Gandhi:","Long ago, between 1905 nnd 1913 when I was m South Africa, I was in constant touch with the small Chinese colony m Johanssesburg I knew them :first as clients and then as comrades in the Indian passive resistance struggle m South Africa"
"Your philosophy, Mahatma:","I learnt then to admire their thrift, industry, resourcefulness and internal umty"
"Gandhi, share your wisdom:","I have thus felt greatly attracted towards your great country and, in comtnon with my countrymen, our sympathy has gone out to you in your terrible struggle"
What would Gandhi say?,"Our mutual friend, Jawaharlal Nehru, whose love of Chin"
Tell me about truth and love:,"a is only excelled, if at all, by his love of his own country, has kept us in intimate touch with the developments of the Chinese struggle"
"Guide me, Gandhi:",• 112 Famous Letters o[ Mahatma Gandhi
"Your philosophy, Mahatma:",India must not submit to any aggressor o:r: invadet· and you must resist him
